Modulo,Recurso,Operacion,Endpoint,Proteccion,Expresion exacta,ROL_CONTADOR,ROL_PLANEADOR,Notas,Archivo,Linea
Inventario,LoteProducto,LISTAR/VER,GET /api/lotes/{id}/evaluaciones,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_ALMACENISTA,ROL_JEFE_ALMACENES,ROL_CONTADOR,ROL_COMPRADOR,ROL_JEFE_CALIDAD,ROL_ANALISTA_CALIDAD,ROL_MICROBIOLOGO,ROL_JEFE_PRODUCCION,ROL_PLANEADOR,ROL_SUPER_ADMIN) + @PreAuthorize(""hasAnyAuthority('ROL_JEFE_CALIDAD','ROL_SUPER_ADMIN','ROL_ANALISTA_CALIDAD','ROL_MICROBIOLOGO')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/LoteProductoController.java,126
Inventario,LoteProducto,EDITAR,PUT /api/lotes/{id}/liberar,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_ALMACENISTA,ROL_JEFE_ALMACENES,ROL_CONTADOR,ROL_COMPRADOR,ROL_JEFE_CALIDAD,ROL_ANALISTA_CALIDAD,ROL_MICROBIOLOGO,ROL_JEFE_PRODUCCION,ROL_PLANEADOR,ROL_SUPER_ADMIN) + @PreAuthorize(""hasAnyAuthority('ROL_JEFE_CALIDAD', 'ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/LoteProductoController.java,132
Inventario,LoteProducto,RECHAZAR,PUT /api/lotes/{id}/rechazar,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_ALMACENISTA,ROL_JEFE_ALMACENES,ROL_CONTADOR,ROL_COMPRADOR,ROL_JEFE_CALIDAD,ROL_ANALISTA_CALIDAD,ROL_MICROBIOLOGO,ROL_JEFE_PRODUCCION,ROL_PLANEADOR,ROL_SUPER_ADMIN) + @PreAuthorize(""hasAnyAuthority('ROL_JEFE_CALIDAD', 'ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/LoteProductoController.java,140
Inventario,LoteProducto,EDITAR,PUT /api/lotes/{id}/liberar-retenido,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_ALMACENISTA,ROL_JEFE_ALMACENES,ROL_CONTADOR,ROL_COMPRADOR,ROL_JEFE_CALIDAD,ROL_ANALISTA_CALIDAD,ROL_MICROBIOLOGO,ROL_JEFE_PRODUCCION,ROL_PLANEADOR,ROL_SUPER_ADMIN) + @PreAuthorize(""hasAnyAuthority('ROL_JEFE_CALIDAD', 'ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/LoteProductoController.java,148
Inventario,OrdenCompra,EDITAR,PUT /api/inventario/ordenes/{id},SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_COMPRADOR,ROL_JEFE_ALMACENES,ROL_SUPER_ADMIN) + @PreAuthorize(""hasAnyAuthority('ROL_JEFE_ALMACENES', 'ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/OrdenCompraController.java,120
Inventario,OrdenCompra,CAMBIAR_ESTADO,GET /api/inventario/ordenes/estado,SecurityConfig,"hasAnyAuthority(ROL_COMPRADOR,ROL_JEFE_ALMACENES,ROL_SUPER_ADMIN)",DENY,DENY,cae en /api/** authenticated,src/main/java/com/willyes/clemenintegra/inventario/controller/OrdenCompraController.java,173
Inventario,OrdenCompra,LISTAR/VER,GET /api/inventario/ordenes/{id}/detalles,SecurityConfig,"hasAnyAuthority(ROL_COMPRADOR,ROL_JEFE_ALMACENES,ROL_SUPER_ADMIN)",DENY,DENY,cae en /api/** authenticated,src/main/java/com/willyes/clemenintegra/inventario/controller/OrdenCompraController.java,181
Inventario,OrdenCompra,CAMBIAR_ESTADO,PUT /api/inventario/ordenes/{id}/estado,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_COMPRADOR,ROL_JEFE_ALMACENES,ROL_SUPER_ADMIN) + @PreAuthorize(""hasAnyAuthority('ROL_COMPRADOR','ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/OrdenCompraController.java,189
Inventario,OrdenCompra,LISTAR/VER,GET /api/inventario/ordenes/{id}/transiciones,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_COMPRADOR,ROL_JEFE_ALMACENES,ROL_SUPER_ADMIN) + @PreAuthorize(""hasAnyAuthority('ROL_COMPRADOR','ROL_JEFE_ALMACENES','ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/OrdenCompraController.java,203
Inventario,OrdenCompra,LISTAR/VER,GET /api/inventario/ordenes/{id}/pdf,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_COMPRADOR,ROL_JEFE_ALMACENES,ROL_SUPER_ADMIN) + @PreAuthorize(""hasAnyAuthority('ROL_COMPRADOR','ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/OrdenCompraController.java,227
Inventario,OrdenCompra,LISTAR/VER,GET /api/inventario/ordenes/{id}/recepciones,SecurityConfig,"hasAnyAuthority(ROL_COMPRADOR,ROL_JEFE_ALMACENES,ROL_SUPER_ADMIN)",DENY,DENY,cae en /api/** authenticated,src/main/java/com/willyes/clemenintegra/inventario/controller/OrdenCompraController.java,266
Inventario,OrdenCompra,LISTAR/VER,GET /api/inventario/ordenes/{id}/historial,SecurityConfig,"hasAnyAuthority(ROL_COMPRADOR,ROL_JEFE_ALMACENES,ROL_SUPER_ADMIN)",DENY,DENY,cae en /api/** authenticated,src/main/java/com/willyes/clemenintegra/inventario/controller/OrdenCompraController.java,272
Inventario,OrdenCompraDetalle,CREAR,POST /api/inventario/ordenes-compra-detalle/{ordenCompraId},SecurityConfig,"hasAnyAuthority(ROL_ALMACENISTA,ROL_JEFE_ALMACENES,ROL_CONTADOR,ROL_COMPRADOR,ROL_JEFE_CALIDAD,ROL_ANALISTA_CALIDAD,ROL_MICROBIOLOGO,ROL_JEFE_PRODUCCION,ROL_PLANEADOR,ROL_SUPER_ADMIN)",ALLOW,ALLOW,cae en /api/** authenticated,src/main/java/com/willyes/clemenintegra/inventario/controller/OrdenCompraDetalleController.java,34
Inventario,OrdenCompraDetalle,LISTAR/VER,GET /api/inventario/ordenes-compra-detalle/{id},SecurityConfig,"hasAnyAuthority(ROL_ALMACENISTA,ROL_JEFE_ALMACENES,ROL_CONTADOR,ROL_COMPRADOR,ROL_JEFE_CALIDAD,ROL_ANALISTA_CALIDAD,ROL_MICROBIOLOGO,ROL_JEFE_PRODUCCION,ROL_PLANEADOR,ROL_SUPER_ADMIN)",ALLOW,ALLOW,cae en /api/** authenticated,src/main/java/com/willyes/clemenintegra/inventario/controller/OrdenCompraDetalleController.java,59
Inventario,OrdenCompraDetalle,ANULAR,DELETE /api/inventario/ordenes-compra-detalle/{id},SecurityConfig,"hasAnyAuthority(ROL_ALMACENISTA,ROL_JEFE_ALMACENES,ROL_CONTADOR,ROL_COMPRADOR,ROL_JEFE_CALIDAD,ROL_ANALISTA_CALIDAD,ROL_MICROBIOLOGO,ROL_JEFE_PRODUCCION,ROL_PLANEADOR,ROL_SUPER_ADMIN)",ALLOW,ALLOW,cae en /api/** authenticated,src/main/java/com/willyes/clemenintegra/inventario/controller/OrdenCompraDetalleController.java,67
Inventario,OrdenCompraDocumento,CREAR,POST /api/ordenes-compra/{ordenCompraId}/documentos,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_COMPRADOR,ROL_JEFE_ALMACENES,ROL_ALMACENISTA,ROL_SUPER_ADMIN) + @PreAuthorize(""hasAnyAuthority('ROL_COMPRADOR','ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/OrdenCompraDocumentoController.java,30
Inventario,OrdenCompraDocumento,LISTAR/VER,GET /api/ordenes-compra/{ordenCompraId}/documentos,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_COMPRADOR,ROL_JEFE_ALMACENES,ROL_ALMACENISTA,ROL_CONTADOR,ROL_SUPER_ADMIN) + @PreAuthorize(""hasAnyAuthority('ROL_COMPRADOR','ROL_JEFE_ALMACENES','ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/OrdenCompraDocumentoController.java,44
Inventario,OrdenCompraDocumento,LISTAR/VER,GET /api/ordenes-compra/documentos/{documentoId}/download,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_COMPRADOR,ROL_JEFE_ALMACENES,ROL_ALMACENISTA,ROL_CONTADOR,ROL_SUPER_ADMIN) + @PreAuthorize(""hasAnyAuthority('ROL_COMPRADOR','ROL_JEFE_ALMACENES','ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/OrdenCompraDocumentoController.java,50
Inventario,PicklistPt,LISTAR/VER,GET /api/inventario/picklists-pt/{id},SecurityConfig + @PreAuthorize,"authenticated + @PreAuthorize(""hasAnyAuthority('ROL_JEFE_ALMACENES','ROL_ALMACENISTA','ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/PicklistPtController.java,61
Inventario,PicklistPt,LISTAR/VER,GET /api/inventario/picklists-pt/{id}/pdf,SecurityConfig + @PreAuthorize,"authenticated + @PreAuthorize(""hasAnyAuthority('ROL_JEFE_ALMACENES','ROL_ALMACENISTA','ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/PicklistPtController.java,67
Inventario,PicklistPt,CREAR,POST /api/inventario/picklists-pt/{id}/confirmar,SecurityConfig + @PreAuthorize,"authenticated + @PreAuthorize(""hasAnyAuthority('ROL_JEFE_ALMACENES','ROL_ALMACENISTA','ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/PicklistPtController.java,77
Inventario,PicklistPt,CREAR,POST /api/inventario/picklists-pt/{id}/ejecutar,SecurityConfig + @PreAuthorize,"authenticated + @PreAuthorize(""hasAnyAuthority('ROL_JEFE_ALMACENES','ROL_ALMACENISTA','ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/PicklistPtController.java,83
Inventario,PicklistPt,CAMBIAR_ESTADO,POST /api/inventario/picklists-pt/{id}/cancelar,SecurityConfig + @PreAuthorize,"authenticated + @PreAuthorize(""hasAnyAuthority('ROL_JEFE_ALMACENES','ROL_ALMACENISTA','ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/PicklistPtController.java,89
Inventario,ProductoCalidad,EDITAR,PATCH /api/inventario/productos/{id}/calidad,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_JEFE_CALIDAD,ROL_SUPER_ADMIN) + @PreAuthorize(""hasAnyAuthority('ROL_JEFE_CALIDAD','ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/ProductoCalidadController.java,21
Inventario,Producto,LISTAR/VER,GET /api/productos/buscar,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_ALMACENISTA,ROL_JEFE_ALMACENES,ROL_CONTADOR,ROL_COMPRADOR,ROL_JEFE_CALIDAD,ROL_ANALISTA_CALIDAD,ROL_MICROBIOLOGO,ROL_JEFE_PRODUCCION,ROL_PLANEADOR,ROL_SUPER_ADMIN,INV_PRODUCT_READ) + @PreAuthorize(""hasAnyAuthority('ROL_CONTADOR','ROL_SUPER_ADMIN')",ALLOW,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/ProductoController.java,40
Inventario,Producto,LISTAR/VER,GET /api/productos/buscar-insumos,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_ALMACENISTA,ROL_JEFE_ALMACENES,ROL_CONTADOR,ROL_COMPRADOR,ROL_JEFE_CALIDAD,ROL_ANALISTA_CALIDAD,ROL_MICROBIOLOGO,ROL_JEFE_PRODUCCION,ROL_PLANEADOR,ROL_SUPER_ADMIN,INV_PRODUCT_READ) + @PreAuthorize(""hasAnyAuthority('INV_PRODUCT_READ','ROL_CONTADOR','ROL_JEFE_ALMACENES','ROL_ALMACENISTA','ROL_JEFE_PRODUCCION','ROL_SUPER_ADMIN','ROL_PLANEADOR')",ALLOW,ALLOW,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/ProductoController.java,49
Inventario,Producto,LISTAR/VER,GET /api/productos/buscar-pt,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_ALMACENISTA,ROL_JEFE_ALMACENES,ROL_CONTADOR,ROL_COMPRADOR,ROL_JEFE_CALIDAD,ROL_ANALISTA_CALIDAD,ROL_MICROBIOLOGO,ROL_JEFE_PRODUCCION,ROL_PLANEADOR,ROL_SUPER_ADMIN,INV_PRODUCT_READ) + @PreAuthorize(""hasAnyAuthority('INV_PRODUCT_READ','ROL_CONTADOR','ROL_JEFE_ALMACENES','ROL_ALMACENISTA','ROL_JEFE_PRODUCCION','ROL_SUPER_ADMIN','ROL_PLANEADOR')",ALLOW,ALLOW,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/ProductoController.java,59
Inventario,Producto,LISTAR/VER,GET /api/productos/buscar-fabricables,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_ALMACENISTA,ROL_JEFE_ALMACENES,ROL_CONTADOR,ROL_COMPRADOR,ROL_JEFE_CALIDAD,ROL_ANALISTA_CALIDAD,ROL_MICROBIOLOGO,ROL_JEFE_PRODUCCION,ROL_PLANEADOR,ROL_SUPER_ADMIN,INV_PRODUCT_READ) + @PreAuthorize(""hasAnyAuthority('INV_PRODUCT_READ','ROL_CONTADOR','ROL_JEFE_PRODUCCION','ROL_JEFE_ALMACENES','ROL_JEFE_CALIDAD','ROL_SUPER_ADMIN','ROL_PLANEADOR')",ALLOW,ALLOW,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/ProductoController.java,69
Inventario,Producto,LISTAR/VER,GET /api/productos/fabricables,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_ALMACENISTA,ROL_JEFE_ALMACENES,ROL_CONTADOR,ROL_COMPRADOR,ROL_JEFE_CALIDAD,ROL_ANALISTA_CALIDAD,ROL_MICROBIOLOGO,ROL_JEFE_PRODUCCION,ROL_PLANEADOR,ROL_SUPER_ADMIN,INV_PRODUCT_READ) + @PreAuthorize(""hasAnyAuthority('INV_PRODUCT_READ','ROL_CONTADOR','ROL_JEFE_PRODUCCION','ROL_JEFE_ALMACENES','ROL_JEFE_CALIDAD','ROL_SUPER_ADMIN','ROL_PLANEADOR')",ALLOW,ALLOW,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/ProductoController.java,91
Inventario,Producto,LISTAR/VER,GET /api/productos/producto-terminado,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_ALMACENISTA,ROL_JEFE_ALMACENES,ROL_CONTADOR,ROL_COMPRADOR,ROL_JEFE_CALIDAD,ROL_ANALISTA_CALIDAD,ROL_MICROBIOLOGO,ROL_JEFE_PRODUCCION,ROL_PLANEADOR,ROL_SUPER_ADMIN,INV_PRODUCT_READ) + @PreAuthorize(""hasAnyAuthority('INV_PRODUCT_READ','ROL_CONTADOR','ROL_JEFE_CALIDAD','ROL_JEFE_PRODUCCION','ROL_SUPER_ADMIN','ROL_PLANEADOR')",ALLOW,ALLOW,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/ProductoController.java,98
Inventario,Producto,LISTAR/VER,GET /api/productos/insumos,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_ALMACENISTA,ROL_JEFE_ALMACENES,ROL_CONTADOR,ROL_COMPRADOR,ROL_JEFE_CALIDAD,ROL_ANALISTA_CALIDAD,ROL_MICROBIOLOGO,ROL_JEFE_PRODUCCION,ROL_PLANEADOR,ROL_SUPER_ADMIN,INV_PRODUCT_READ) + @PreAuthorize(""hasAnyAuthority('INV_PRODUCT_READ','ROL_CONTADOR','ROL_JEFE_CALIDAD','ROL_JEFE_PRODUCCION','ROL_SUPER_ADMIN','ROL_PLANEADOR')",ALLOW,ALLOW,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/ProductoController.java,104
